TIMESTEP,KINETIC,POTENTIAL,INVARIANT,TEMPERATURE
1,0.11745928,-1.147261228,0.11745928,268.7732507
2,0.117602262,-1.147841841,0.117602262,269.1004247
3,0.117989824,-1.147056655,0.117989824,269.9872544
4,0.118620136,-1.144889761,0.118620136,271.4295498
5,0.119493075,-1.141321195,0.119493075,273.4270315
6,0.120610288,-1.13632691,0.120610288,275.9834666
7,0.121975265,-1.129878731,0.121975265,279.1068396
8,0.123593426,-1.121944261,0.123593426,282.8095575
9,0.125472235,-1.112486769,0.125472235,287.1086937
10,0.127621316,-1.101465022,0.127621316,292.0262747
11,0.130052605,-1.088833099,0.130052605,297.5896102
12,0.132780511,-1.074540141,0.132780511,303.8316734
13,0.13582211,-1.058530081,0.13582211,310.791535
14,0.139197355,-1.040741303,0.139197355,318.514855
15,0.142929324,-1.021106265,0.142929324,327.0544392
16,0.147044491,-0.99955106,0.147044491,336.4708669
17,0.151573035,-0.975994916,0.151573035,346.8331952
18,0.156549187,-0.950349626,0.156549187,358.2197509
19,0.162011616,-0.922518904,0.162011616,370.7190157
20,0.16800386,-0.892397657,0.16800386,384.430619
21,0.174574817,-0.859871158,0.174574817,399.4664466
22,0.181779282,-0.824814118,0.181779282,415.9518809
23,0.189678551,-0.787089626,0.189678551,434.0271864
24,0.198341105,-0.746547951,0.198341105,453.8490588
25,0.207843361,-0.703025186,0.207843361,475.5923563
26,0.218270517,-0.656341688,0.218270517,499.4520355
27,0.229717505,-0.6063003,0.229717505,525.6453178
28,0.242290043,-0.552684305,0.242290043,554.4141139
29,0.25610583,-0.495255054,0.25610583,586.0277405
30,0.271295869,-0.433749207,0.271295869,620.785966
31,0.288005967,-0.367875498,0.288005967,659.0224292
32,0.306398412,-0.297310911,0.306398412,701.1084794
33,0.326653858,-0.221696116,0.326653858,747.4574961
34,0.348973455,-0.140629977,0.348973455,798.5297538
35,0.373581244,-0.053662852,0.373581244,854.8379099
36,0.400726868,0.039711669,0.400726868,916.9532036
37,0.430688639,0.140067098,0.430688639,985.5124742
38,0.463777016,0.248057178,0.463777016,1061.226124
39,0.500338568,0.364432836,0.500338568,1144.887177
40,0.54076049,0.490064459,0.54076049,1237.381626
41,0.585475793,0.625971746,0.585475793,1339.700296
42,0.634969283,0.773364473,0.634969283,1452.952533
43,0.689784518,0.933699378,0.689784518,1578.38212
44,0.750531985,1.108761174,0.750531985,1717.385988
45,0.817898848,1.300780474,0.817898848,1871.536522
46,0.892660817,1.512609189,0.892660817,2042.608722
47,0.975696985,1.747987106,0.975696985,2232.614149
48,1.068009068,2.011956005,1.068009068,2443.844959
49,1.17074754,2.311517269,1.17074754,2678.933689
50,1.28524914,2.656700085,1.28524914,2940.939103
51,1.413094246,3.062338635,1.413094246,3233.47746
52,1.55620059,3.551107057,1.55620059,3560.936963
53,1.716986551,4.158857405,1.716986551,3928.851405
54,1.898673064,4.944332913,1.898673064,4344.591011
55,2.105871704,6.007557314,2.105871704,4818.7081
56,2.345782085,7.526299243,2.345782085,5367.67701
57,2.63071936,9.832417265,2.63071936,6019.677584
58,2.983594427,13.58238819,2.983594427,6827.135104
59,3.449985819,20.16924085,3.449985819,7894.343506
60,4.124804699,32.81762258,4.124804699,9438.48088
61,5.21049158,59.85511245,5.21049158,11922.77665
62,7.140047952,125.9432501,7.140047952,16338.03562
63,10.8225494,317.3597724,10.8225494,24764.42719
64,18.15608353,1023.617543,18.15608353,41545.20269
65,34.13189013,8027.514991,34.13189013,78101.44139
66,77.62405658,1073109.938,77.62405658,177621.3002
67,176.738881,5808658.253,176.738881,404418.3109
68,445.4556305,2001.572433,445.4556305,1019302.672
69,1231.25897,56521.88253,1231.25897,2817397.452
70,2440.622293,587574322.6,2440.622293,5584692.739
71,2506.240641,543171.8667,2506.240641,5734842.277
72,5.65725E+11,2487589.779,5.65725E+11,1.29451E+15
73,2.2629E+12,12630101806,2.2629E+12,5.17803E+15
74,4.65087E+13,50530979415,4.65087E+13,1.06422E+17
75,1.83449E+14,1.13662E+11,1.83449E+14,4.19773E+17
76,3.60576E+14,4.84516E+11,3.60576E+14,8.25079E+17
77,1.26357E+18,1.17433E+12,1.26357E+18,2.89134E+21
78,2.31815E+18,2.50826E+12,2.31815E+18,5.30445E+21
79,5.10343E+18,4.49477E+12,5.10343E+18,1.16778E+22
80,4.36153E+18,7.13104E+12,4.36153E+18,9.98016E+21
81,3.76638E+18,1.04171E+13,3.76638E+18,8.61833E+21
82,1.46554E+18,1.43529E+13,1.46554E+18,3.35349E+21
83,2.38547E+18,1.89384E+13,2.38547E+18,5.4585E+21
84,2.52924E+18,3.26857E+13,2.52924E+18,5.78747E+21
85,1.53532E+18,3.00595E+13,1.53532E+18,3.51317E+21
86,1.50945E+18,3.66534E+13,1.50945E+18,3.45396E+21
87,3.23048E+18,4.37792E+13,3.23048E+18,7.39205E+21
88,2.21143E+18,5.16141E+13,2.21143E+18,5.06025E+21
89,1.56531E+18,6.00988E+13,1.56531E+18,3.58178E+21
90,2.08192E+18,6.92334E+13,2.08192E+18,4.76391E+21
91,1.80773E+18,7.90179E+13,1.80773E+18,4.1365E+21
92,4.76007E+18,8.94522E+13,4.76007E+18,1.08921E+22
93,3.84022E+18,1.00536E+14,3.84022E+18,8.78728E+21
94,1.82736E+18,1.1227E+14,1.82736E+18,4.18142E+21
95,3.12796E+18,1.24654E+14,3.12796E+18,7.15747E+21
96,2.99149E+18,1.37688E+14,2.99149E+18,6.8452E+21
97,1.77201E+18,1.51372E+14,1.77201E+18,4.05475E+21
98,3.65485E+18,1.65706E+14,3.65485E+18,8.36312E+21
99,5.06226E+18,1.80689E+14,5.06226E+18,1.15836E+22
100,1.55958E+18,1.96322E+14,1.55958E+18,3.56868E+21
101,4.08207E+18,2.12606E+14,4.08207E+18,9.3407E+21